ok  	siq-agent-security/apps/agentshield/cmd/agentshield	0.162s
?   	siq-agent-security/apps/agentshield/cmd/perfbaseline	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/adapterinstall	3.792s
ok  	siq-agent-security/apps/agentshield/internal/adapters	0.088s
ok  	siq-agent-security/apps/agentshield/internal/admission	0.233s
ok  	siq-agent-security/apps/agentshield/internal/canon	0.015s
ok  	siq-agent-security/apps/agentshield/internal/completion	0.115s
ok  	siq-agent-security/apps/agentshield/internal/contractvectors	0.025s
ok  	siq-agent-security/apps/agentshield/internal/controlsync	0.025s
ok  	siq-agent-security/apps/agentshield/internal/display	0.025s
ok  	siq-agent-security/apps/agentshield/internal/effectevidence	1.882s
ok  	siq-agent-security/apps/agentshield/internal/export	0.105s
?   	siq-agent-security/apps/agentshield/internal/fileopen	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/grant	0.062s
ok  	siq-agent-security/apps/agentshield/internal/hermeshome	0.033s
ok  	siq-agent-security/apps/agentshield/internal/intent	1.229s
ok  	siq-agent-security/apps/agentshield/internal/inventory	0.118s
ok  	siq-agent-security/apps/agentshield/internal/ledger	0.166s
ok  	siq-agent-security/apps/agentshield/internal/openshell	0.020s
ok  	siq-agent-security/apps/agentshield/internal/pending	0.073s
ok  	siq-agent-security/apps/agentshield/internal/perfbaseline	0.576s
?   	siq-agent-security/apps/agentshield/internal/product	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/provenance	8.913s
ok  	siq-agent-security/apps/agentshield/internal/receipt	14.926s
ok  	siq-agent-security/apps/agentshield/internal/rulepack	0.050s
ok  	siq-agent-security/apps/agentshield/internal/runtimeaction	0.011s
?   	siq-agent-security/apps/agentshield/internal/runtimeauthz	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/runtimecheck	4.931s
ok  	siq-agent-security/apps/agentshield/internal/runtimeidentity	0.735s
ok  	siq-agent-security/apps/agentshield/internal/server	8.399s
ok  	siq-agent-security/apps/agentshield/internal/signing	0.015s
ok  	siq-agent-security/apps/agentshield/internal/skillimport	1.572s
ok  	siq-agent-security/apps/agentshield/internal/skillmanifest	0.679s
ok  	siq-agent-security/apps/agentshield/internal/state	1.104s
ok  	siq-agent-security/apps/agentshield/internal/threat	0.033s
?   	siq-agent-security/apps/agentshield/internal/trustedcontext	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/ui	0.013s
