ok  	siq-agent-security/apps/agentshield/cmd/agentshield	0.281s
?   	siq-agent-security/apps/agentshield/cmd/perfbaseline	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/adapterinstall	3.703s
ok  	siq-agent-security/apps/agentshield/internal/adapters	0.072s
ok  	siq-agent-security/apps/agentshield/internal/admission	0.155s
ok  	siq-agent-security/apps/agentshield/internal/canon	0.012s
ok  	siq-agent-security/apps/agentshield/internal/completion	0.082s
ok  	siq-agent-security/apps/agentshield/internal/contractvectors	0.017s
ok  	siq-agent-security/apps/agentshield/internal/controlsync	0.014s
ok  	siq-agent-security/apps/agentshield/internal/display	0.014s
ok  	siq-agent-security/apps/agentshield/internal/effectevidence	1.700s
ok  	siq-agent-security/apps/agentshield/internal/export	0.106s
?   	siq-agent-security/apps/agentshield/internal/fileopen	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/grant	0.034s
ok  	siq-agent-security/apps/agentshield/internal/hermeshome	0.023s
?   	siq-agent-security/apps/agentshield/internal/importsource	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/intent	1.186s
ok  	siq-agent-security/apps/agentshield/internal/inventory	0.079s
ok  	siq-agent-security/apps/agentshield/internal/ledger	0.148s
ok  	siq-agent-security/apps/agentshield/internal/openshell	0.014s
ok  	siq-agent-security/apps/agentshield/internal/pending	0.050s
ok  	siq-agent-security/apps/agentshield/internal/perfbaseline	0.537s
?   	siq-agent-security/apps/agentshield/internal/product	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/provenance	8.918s
ok  	siq-agent-security/apps/agentshield/internal/receipt	15.066s
ok  	siq-agent-security/apps/agentshield/internal/rulepack	0.015s
ok  	siq-agent-security/apps/agentshield/internal/runtimeaction	0.011s
?   	siq-agent-security/apps/agentshield/internal/runtimeauthz	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/runtimecheck	4.841s
ok  	siq-agent-security/apps/agentshield/internal/runtimeidentity	0.689s
ok  	siq-agent-security/apps/agentshield/internal/server	8.812s
ok  	siq-agent-security/apps/agentshield/internal/signing	0.019s
ok  	siq-agent-security/apps/agentshield/internal/skillimport	1.886s
ok  	siq-agent-security/apps/agentshield/internal/skillmanifest	0.678s
ok  	siq-agent-security/apps/agentshield/internal/state	1.052s
ok  	siq-agent-security/apps/agentshield/internal/threat	0.036s
?   	siq-agent-security/apps/agentshield/internal/trustedcontext	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/ui	0.010s
