ok  	siq-agent-security/apps/agentshield/cmd/agentshield	1.131s
?   	siq-agent-security/apps/agentshield/cmd/perfbaseline	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/adapterinstall	1.508s
ok  	siq-agent-security/apps/agentshield/internal/adapters	1.192s
ok  	siq-agent-security/apps/agentshield/internal/admission	4.235s
ok  	siq-agent-security/apps/agentshield/internal/canon	1.029s
ok  	siq-agent-security/apps/agentshield/internal/completion	1.191s
ok  	siq-agent-security/apps/agentshield/internal/contractvectors	1.045s
ok  	siq-agent-security/apps/agentshield/internal/controlsync	1.045s
ok  	siq-agent-security/apps/agentshield/internal/display	1.026s
ok  	siq-agent-security/apps/agentshield/internal/effectevidence	10.481s
ok  	siq-agent-security/apps/agentshield/internal/export	1.140s
?   	siq-agent-security/apps/agentshield/internal/fileopen	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/grant	1.106s
ok  	siq-agent-security/apps/agentshield/internal/intent	4.658s
ok  	siq-agent-security/apps/agentshield/internal/inventory	1.211s
ok  	siq-agent-security/apps/agentshield/internal/ledger	1.216s
ok  	siq-agent-security/apps/agentshield/internal/openshell	1.047s
ok  	siq-agent-security/apps/agentshield/internal/pending	1.078s
ok  	siq-agent-security/apps/agentshield/internal/perfbaseline	1.650s
?   	siq-agent-security/apps/agentshield/internal/product	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/provenance	16.993s
ok  	siq-agent-security/apps/agentshield/internal/receipt	23.172s
ok  	siq-agent-security/apps/agentshield/internal/rulepack	1.092s
ok  	siq-agent-security/apps/agentshield/internal/runtimeaction	1.036s
?   	siq-agent-security/apps/agentshield/internal/runtimeauthz	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/server	6.377s
ok  	siq-agent-security/apps/agentshield/internal/signing	1.035s
ok  	siq-agent-security/apps/agentshield/internal/skillmanifest	1.639s
ok  	siq-agent-security/apps/agentshield/internal/state	3.121s
ok  	siq-agent-security/apps/agentshield/internal/threat	1.328s
?   	siq-agent-security/apps/agentshield/internal/trustedcontext	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/ui	1.029s
